SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND,state,latitude,longitude,elevation_m,slope_degree,aspect_degree,soil_moisture_pct,ndvi,soil_type,historical_landslides,distance_to_road_km,distance_to_river_km,land_cover,landslide_risk_label
Arunachal Pradesh,1931.0,61.3,189.7,231.6,502.7,277.7,1149.4,1399.9,337.7,480.7,157.4,37.8,46.2,4872.1,251.0,1012.0,3367.7,241.3,Tripura,24.88262,90.12706,189.4,11.85,226.27,48.88,0.741,Alluvial,1,3.293,0.598,Forest,1
Arunachal Pradesh,1932.0,70.2,110.3,105.5,282.7,661.6,1065.2,521.2,907.8,682.9,152.2,231.4,59.9,4850.9,180.5,1049.8,3177.1,443.5,Arunachal Pradesh,27.03515,93.80154,2541.8,11.35,39.64,53.27,0.429,Sandy Loam,0,1.638,1.241,Agriculture,0
Arunachal Pradesh,1933.0,56.0,59.4,101.6,267.9,435.3,782.1,743.2,685.2,376.1,217.9,40.6,8.1,3773.3,115.4,804.8,2586.5,266.6,Assam,24.9865,91.44316,605.6,39.17,241.92,40.18,0.78,Clay,1,1.845,0.411,Agriculture,1
Arunachal Pradesh,1934.0,84.9,88.3,128.3,595.1,454.5,1024.6,935.9,640.9,382.6,141.6,77.0,21.9,4575.7,173.2,1177.9,2984.0,240.6,Manipur,24.76224,94.12128,1116.4,37.26,47.67,19.6,0.538,Alluvial,0,2.429,0.833,Forest,0
Arunachal Pradesh,1935.0,18.1,143.6,169.7,211.2,299.9,1147.1,489.9,968.8,631.6,21.8,44.4,27.4,4173.7,161.8,680.9,3237.5,93.6,Meghalaya,24.77589,92.69849,254.3,10.0,253.44,39.17,0.629,Loamy,0,2.707,1.288,Forest,0
Arunachal Pradesh,1936.0,105.9,175.2,151.7,374.7,295.7,833.1,1132.8,668.4,584.3,216.5,122.8,127.6,4788.9,281.1,822.2,3218.6,467.0,Mizoram,23.53716,92.11988,528.1,10.94,262.52,57.23,0.915,Clay,0,2.164,1.21,Grassland,1
Arunachal Pradesh,1937.0,19.9,105.6,91.2,261.0,399.0,456.4,611.6,816.9,339.7,239.8,16.7,17.3,3375.1,125.5,751.2,2224.6,273.8,Nagaland,24.848,93.87665,264.1,17.43,91.1,6.58,0.391,Sandy Loam,1,0.067,1.226,Forest,1
Arunachal Pradesh,1938.0,144.8,121.6,340.5,395.3,306.5,1511.3,1355.1,790.8,877.3,220.6,59.7,5.6,6129.0,266.4,1042.3,4534.5,285.8,Sikkim,26.29602,88.66792,3488.7,21.14,337.73,29.27,0.559,Alluvial,0,3.877,1.488,Forest,1
Arunachal Pradesh,1939.0,13.6,140.5,112.7,388.1,314.6,1132.5,838.5,310.2,476.4,157.6,6.2,7.7,3898.7,154.2,815.5,2757.6,171.4,Tripura,24.95695,89.94908,614.5,31.41,307.09,41.89,0.395,Silty,3,1.356,0.489,Forest,1
Arunachal Pradesh,1940.0,12.7,168.5,381.8,133.9,480.5,511.0,1067.9,340.5,791.4,154.6,12.4,44.3,4099.3,181.2,996.2,2710.7,211.3,Arunachal Pradesh,28.02648,93.70198,3578.6,23.94,77.22,76.95,0.842,Silty,3,0.626,0.551,Forest,0
Arunachal Pradesh,1941.0,37.4,101.7,157.9,245.4,652.4,518.1,935.9,729.2,687.0,89.7,19.6,45.9,4220.2,139.1,1055.7,2870.3,155.2,Assam,26.01124,93.19294,540.3,5.38,170.6,52.64,0.904,Silty,2,1.121,0.322,Forest,1
Arunachal Pradesh,1942.0,15.8,164.9,277.8,272.4,618.9,1182.6,457.5,438.9,357.6,8.7,32.1,1.1,3828.2,180.7,1169.1,2436.6,41.9,Manipur,23.81682,94.38107,1226.3,17.06,261.46,31.74,0.516,Laterite,0,1.391,0.852,Agriculture,1
Arunachal Pradesh,1943.0,164.5,46.3,286.3,322.6,656.6,712.3,688.1,501.0,727.7,155.4,43.0,22.8,4326.7,210.8,1265.4,2629.2,221.3,Meghalaya,26.6621,92.1834,1288.1,30.37,185.58,50.01,0.448,Clay,3,1.45,0.57,Grassland,0
Arunachal Pradesh,1944.0,73.1,67.0,128.4,179.9,664.6,935.9,483.6,307.4,656.1,334.8,26.0,47.5,3904.3,140.1,972.9,2383.0,408.4,Mizoram,23.68232,91.66492,1601.1,24.27,358.93,35.94,0.549,Alluvial,0,2.514,0.735,Forest,0
Arunachal Pradesh,1945.0,43.4,107.8,151.3,282.9,366.0,420.2,960.0,771.3,328.6,187.7,1.3,28.7,3649.3,151.2,800.2,2480.1,217.7,Nagaland,25.00284,95.30935,1725.3,12.83,229.41,53.0,0.677,Loamy,1,1.04,0.985,Agriculture,0
Arunachal Pradesh,1946.0,1.8,73.2,141.7,238.3,631.2,448.6,1212.2,478.7,540.4,215.9,25.4,3.8,4011.2,75.1,1011.2,2679.9,245.1,Sikkim,27.89641,89.40849,1700.4,24.52,290.43,86.51,0.821,Laterite,1,1.963,2.437,Forest,1
Arunachal Pradesh,1947.0,37.8,68.5,158.6,460.2,494.4,650.2,1245.0,417.9,503.8,297.3,9.5,25.9,4369.1,106.3,1113.2,2816.9,332.6,Tripura,22.54079,90.31485,557.2,16.66,200.22,41.37,0.622,Loamy,1,3.817,0.633,Forest,0
Arunachal Pradesh,1948.0,35.6,119.5,136.1,441.1,1168.6,889.5,2362.8,603.3,350.4,150.1,52.7,21.4,6331.1,155.1,1745.8,4206.0,224.2,Arunachal Pradesh,27.53825,94.8745,3752.8,7.43,131.9,25.38,0.437,Laterite,1,0.787,1.032,Forest,0
Arunachal Pradesh,1949.0,80.1,88.1,287.4,436.9,567.2,943.9,1002.0,672.6,482.0,224.9,39.6,50.1,4874.7,168.1,1291.5,3100.5,314.6,Assam,26.84159,92.71792,170.0,1.78,19.54,40.79,0.619,Sandy Loam,1,3.062,1.369,Grassland,0
Arunachal Pradesh,1950.0,38.6,92.8,205.8,425.2,274.2,,377.6,241.8,285.8,356.0,49.5,43.9,,131.4,905.2,,449.4,Manipur,25.12607,92.95561,2325.7,21.28,111.79,95.13,0.877,Mountain Soil,1,1.657,0.416,Forest,0
Arunachal Pradesh,1951.0,31.8,65.3,309.9,441.0,344.5,757.8,554.7,278.5,383.7,101.8,46.2,39.1,3354.2,97.1,1095.3,1974.7,187.1,Meghalaya,26.76279,92.36167,1030.3,30.25,310.22,40.65,0.529,Laterite,2,3.237,0.179,Forest,1
Arunachal Pradesh,1952.0,17.2,24.5,189.6,151.5,235.1,276.8,320.6,481.1,368.2,257.9,43.9,29.7,2396.1,41.7,576.2,1446.7,331.5,Mizoram,22.53253,94.09864,660.2,9.09,273.24,61.9,0.742,Alluvial,1,1.565,0.938,Agriculture,1
Arunachal Pradesh,1953.0,56.4,106.9,236.0,214.9,314.9,409.9,512.5,245.3,449.8,,10.4,23.4,,163.3,765.8,1617.5,,Nagaland,25.00211,94.34318,2171.8,34.42,56.64,70.59,0.318,Sandy Loam,1,2.013,3.441,Grassland,1
Arunachal Pradesh,1957.0,,,,246.9,448.9,608.1,1219.4,542.6,505.8,146.6,17.1,40.6,,,,2875.9,204.3,Sikkim,28.25085,87.25775,3198.4,6.96,303.2,61.31,0.398,Mountain Soil,0,2.392,2.238,Forest,0
Arunachal Pradesh,1958.0,98.4,67.5,32.9,138.5,698.6,511.2,457.7,1664.6,705.2,669.4,2.5,17.0,5063.5,165.9,870.0,3338.7,688.9,Tripura,22.82638,90.24885,706.0,43.35,237.59,67.93,0.612,Alluvial,1,1.211,1.728,Forest,1
Arunachal Pradesh,1959.0,83.2,137.9,104.5,146.4,671.8,812.9,1137.7,333.2,508.8,247.0,12.1,0.0,4195.5,221.1,922.7,2792.6,259.1,Arunachal Pradesh,26.39542,95.0263,4289.5,7.17,116.29,46.8,0.657,Alluvial,0,1.21,0.41,Grassland,1
Arunachal Pradesh,1960.0,8.0,26.8,53.2,137.1,210.7,653.9,1296.8,251.3,1034.8,13.0,13.4,10.4,3709.4,34.8,401.0,3236.8,36.8,Assam,27.49286,93.74038,247.0,1.73,191.41,35.73,0.822,Mountain Soil,0,2.471,2.72,Forest,0
Arunachal Pradesh,1961.0,50.0,204.2,289.6,181.0,492.3,595.5,738.3,547.9,256.2,260.5,57.1,3.9,3676.5,254.2,962.9,2137.9,321.5,Manipur,25.88195,92.56649,1082.4,11.69,232.87,55.32,0.654,Clay,0,1.069,2.252,Barren,1
Arunachal Pradesh,1962.0,37.2,87.1,45.1,250.3,601.9,1088.8,758.1,1405.9,222.4,255.6,,,,124.3,897.3,3475.2,,Meghalaya,26.20388,91.30174,1469.2,33.83,198.01,83.93,0.418,Mountain Soil,1,0.838,0.773,Forest,0
Arunachal Pradesh,1963.0,14.6,35.2,168.6,262.6,346.4,755.4,817.4,1199.3,366.4,136.4,20.0,15.7,4138.0,49.8,777.6,3138.5,172.1,Mizoram,23.10054,93.65581,577.8,16.42,306.89,24.15,0.402,Loamy,1,3.414,0.794,Forest,0
Arunachal Pradesh,1964.0,55.4,90.3,81.1,219.7,286.4,1432.8,1506.1,492.1,465.1,246.2,12.2,71.9,4959.3,145.7,587.2,3896.1,330.3,Nagaland,24.83871,95.46703,1535.8,14.04,207.85,74.6,0.379,Loamy,2,1.821,3.938,Forest,1
Arunachal Pradesh,1965.0,37.4,120.7,103.7,254.4,306.9,404.7,315.8,351.3,172.9,51.5,72.6,4.9,2196.8,158.1,665.0,1244.7,129.0,Sikkim,27.72057,89.31236,1987.5,23.76,186.12,66.91,0.772,Clay,0,1.79,1.028,Built-up,0
Arunachal Pradesh,1966.0,22.4,91.5,98.4,180.2,177.9,473.2,432.7,411.6,197.6,78.9,39.0,6.3,2209.6,113.8,456.5,1515.1,124.2,Tripura,23.64372,90.42128,451.2,7.53,214.44,71.09,0.561,Mountain Soil,2,2.062,4.326,Forest,1
Arunachal Pradesh,1967.0,13.3,45.5,147.9,96.6,164.0,253.1,434.5,220.8,212.8,58.5,10.0,11.5,1668.5,58.8,408.5,1121.2,80.0,Arunachal Pradesh,28.33662,94.48385,2731.2,29.77,35.85,81.13,0.535,Silty,1,0.239,1.365,Grassland,1
Arunachal Pradesh,1968.0,54.2,41.4,135.9,117.6,307.2,510.1,404.8,227.5,243.5,75.8,12.5,8.4,2139.0,95.7,560.7,1385.9,96.8,Assam,25.35536,94.26501,780.2,5.06,300.12,83.71,0.573,Clay,1,0.446,0.665,Forest,0
Arunachal Pradesh,1969.0,19.2,10.0,33.8,127.0,202.3,412.3,405.1,333.9,241.4,42.9,34.8,15.1,1877.7,29.2,363.1,1392.7,92.8,Manipur,25.13687,93.46621,1539.0,38.11,35.86,50.62,0.57,Laterite,1,1.967,0.259,Forest,1
Arunachal Pradesh,1970.0,49.2,78.8,57.4,108.8,213.4,409.6,377.9,245.4,287.4,138.6,6.9,0.0,1973.4,128.0,379.7,1320.2,145.5,Meghalaya,26.76851,92.77508,735.9,44.86,248.37,62.05,0.531,Sandy Loam,1,2.066,0.883,Forest,0
Arunachal Pradesh,1971.0,56.0,67.8,47.1,121.8,222.4,446.0,385.5,288.2,239.6,235.1,67.8,7.3,2184.5,123.8,391.3,1359.3,310.2,Mizoram,24.10237,93.8938,904.7,22.31,37.26,35.78,0.462,Clay,2,0.347,0.838,Forest,0
Arunachal Pradesh,1972.0,39.2,114.2,108.3,231.5,299.5,314.4,438.3,270.7,334.5,83.3,25.9,21.5,2281.3,153.5,639.3,1357.9,130.7,Nagaland,26.7868,95.49859,2033.2,16.55,126.37,67.97,0.639,Silty,0,2.549,1.028,Forest,1
Arunachal Pradesh,1973.0,136.4,147.1,82.3,215.3,256.5,571.1,284.8,271.3,258.3,110.2,88.9,35.4,2457.5,283.5,554.0,1385.5,234.4,Sikkim,26.30206,89.27011,1005.6,12.21,99.33,58.15,0.316,Alluvial,0,1.361,1.395,Agriculture,0
Arunachal Pradesh,1974.0,130.9,95.4,127.8,272.6,248.3,466.7,648.9,446.8,461.2,121.1,14.0,30.3,3063.9,226.3,648.7,2023.5,165.4,Tripura,24.98589,92.04107,278.8,16.61,140.96,53.66,0.501,Sandy Loam,1,1.065,0.854,Grassland,0
Arunachal Pradesh,1975.0,17.3,76.9,101.7,165.1,188.0,268.5,427.0,185.2,297.0,451.6,21.5,13.6,2213.3,94.2,454.8,1177.7,486.6,Arunachal Pradesh,26.1162,93.22757,1804.7,10.3,93.77,47.87,0.95,Clay,2,3.218,1.564,Forest,1
Arunachal Pradesh,1976.0,8.9,112.9,168.0,229.3,210.7,506.3,375.4,357.4,177.5,139.7,87.9,45.6,2419.5,121.8,608.0,1416.7,273.1,Assam,27.45595,93.80158,343.1,4.02,17.38,88.58,0.894,Laterite,0,3.079,2.55,Forest,1
Arunachal Pradesh,1977.0,71.2,133.5,209.3,560.2,417.8,543.5,484.7,610.1,311.9,213.5,141.0,77.7,3774.3,204.6,1187.3,1950.2,432.2,Manipur,25.11569,94.20142,2079.4,5.16,307.51,88.46,0.433,Loamy,0,1.949,0.996,Forest,0
Arunachal Pradesh,1978.0,37.1,82.2,150.6,216.4,345.6,577.2,357.5,172.4,310.4,133.0,146.1,2.5,2531.0,119.3,712.6,1417.4,281.6,Meghalaya,26.0836,92.19239,167.1,22.38,31.38,75.55,0.672,Silty,0,1.094,1.126,Forest,0
Arunachal Pradesh,1979.0,47.4,81.6,138.2,158.8,210.3,239.4,665.4,296.9,417.5,409.6,27.4,81.2,2773.6,129.0,507.2,1619.2,518.3,Mizoram,23.30568,93.79106,699.6,38.64,20.49,27.24,0.477,Clay,1,0.905,1.094,Forest,0
Arunachal Pradesh,1980.0,65.6,130.4,251.4,372.0,245.5,530.9,514.1,544.7,367.4,185.4,7.8,0.2,3215.3,195.9,868.9,1957.1,193.3,Nagaland,26.97681,93.19585,1932.4,20.03,164.61,70.31,0.644,Loamy,1,0.536,1.123,Forest,0
Arunachal Pradesh,1981.0,93.1,136.1,255.2,197.4,285.0,494.9,549.3,360.6,262.6,71.8,29.3,55.5,2790.9,229.2,737.6,1667.4,156.7,Sikkim,27.61341,88.44751,2924.5,18.78,293.02,35.4,0.876,Silty,1,4.643,0.407,Forest,0
Arunachal Pradesh,1982.0,6.4,100.4,151.2,335.3,241.4,429.8,593.0,197.0,526.6,82.3,53.8,62.2,2779.5,106.8,727.9,1746.4,198.3,Tripura,23.64646,91.63648,39.4,9.88,203.74,65.03,0.556,Clay,2,3.903,0.459,Grassland,1
Arunachal Pradesh,1983.0,65.4,171.1,217.6,351.2,301.9,551.0,563.2,389.9,476.4,191.7,14.9,40.8,3335.3,236.5,870.7,1980.6,247.4,Arunachal Pradesh,27.6361,94.15911,2266.9,27.67,51.35,85.0,0.414,Silty,1,0.562,1.111,Agriculture,1
Arunachal Pradesh,1984.0,98.1,42.8,166.9,389.3,448.7,417.3,671.0,309.2,455.5,184.1,5.7,89.5,3278.0,140.8,1004.9,1853.0,279.3,Assam,25.98856,93.9293,701.1,3.88,349.47,6.72,0.531,Clay,0,1.356,1.458,Forest,1
Arunachal Pradesh,1985.0,54.1,81.0,255.6,347.1,345.5,506.0,657.8,326.3,502.2,116.6,25.4,48.8,3266.2,135.0,948.2,1992.2,190.7,Manipur,24.40576,94.2124,1476.6,49.41,64.33,25.9,0.658,Sandy Loam,2,0.955,0.122,Built-up,1
Arunachal Pradesh,1986.0,19.3,90.1,122.8,335.3,101.8,402.5,453.7,355.3,387.6,176.6,36.6,14.0,2495.6,109.5,559.8,1599.1,227.2,Meghalaya,26.25033,91.09175,288.5,26.87,242.5,58.93,0.486,Laterite,2,0.852,3.751,Forest,1
Arunachal Pradesh,1987.0,3.7,72.5,147.7,352.0,230.8,501.5,754.9,558.8,646.6,101.1,24.1,39.6,3433.2,76.2,730.4,2461.9,164.8,Mizoram,22.01919,91.66016,1262.7,23.48,292.37,72.95,0.671,Sandy Loam,0,0.581,1.697,Built-up,0
Arunachal Pradesh,1988.0,50.9,118.3,250.7,278.9,535.9,287.0,868.1,815.6,486.3,416.4,34.2,13.1,4155.3,169.2,1065.4,2457.0,463.6,Nagaland,26.6043,93.93258,2314.3,15.07,205.19,68.62,0.39,Clay,3,0.636,0.591,Forest,0
Arunachal Pradesh,1989.0,52.6,171.9,92.9,388.7,239.7,484.2,640.7,305.3,526.5,281.7,77.9,19.6,3281.6,224.5,721.2,1956.8,379.1,Sikkim,28.43274,89.52263,2191.1,20.64,135.9,61.84,0.464,Silty,0,0.656,2.894,Agriculture,0
Arunachal Pradesh,1990.0,54.8,112.4,149.0,289.9,366.2,857.2,534.0,352.8,625.5,240.6,2.0,19.7,3604.0,167.2,805.1,2369.5,262.3,Tripura,22.54934,91.44754,167.1,9.83,1.5,72.68,0.591,Mountain Soil,0,4.778,1.569,Agriculture,1
Arunachal Pradesh,1991.0,24.9,86.0,110.7,193.3,423.7,608.3,607.7,603.4,484.5,189.0,22.2,80.8,3434.4,110.9,727.7,2303.9,291.9,Arunachal Pradesh,26.89103,94.05985,3624.6,20.68,273.47,70.14,0.607,Clay,2,1.134,1.146,Forest,0
Arunachal Pradesh,1992.0,33.2,128.9,184.6,196.4,239.2,522.9,557.2,294.3,328.2,201.5,11.5,8.9,2707.0,162.1,620.3,1702.7,221.8,Assam,24.93464,93.54856,197.7,13.68,316.8,70.37,0.501,Laterite,0,2.983,2.359,Forest,0
Arunachal Pradesh,1993.0,95.7,125.4,134.4,130.6,408.3,569.5,619.2,691.9,323.1,228.6,14.7,7.5,3348.9,221.1,673.3,2203.7,250.8,Manipur,24.27755,93.58643,1423.5,21.77,152.1,55.39,0.723,Mountain Soil,2,3.307,1.283,Agriculture,1
Arunachal Pradesh,1994.0,48.2,72.6,215.3,232.1,382.9,416.1,233.0,280.2,225.0,161.6,14.1,6.2,2287.4,120.8,830.3,1154.4,181.9,Meghalaya,26.40528,92.04554,1170.0,52.11,287.59,80.57,0.318,Silty,4,1.499,0.244,Grassland,1
Arunachal Pradesh,1995.0,20.6,79.9,84.3,198.8,363.9,686.9,714.5,328.8,425.1,82.4,51.0,32.6,3068.8,100.5,647.1,2155.2,166.0,Mizoram,23.90986,92.65329,375.9,21.24,12.93,41.91,0.712,Alluvial,0,1.03,1.233,Agriculture,1
Arunachal Pradesh,1996.0,35.7,56.2,163.6,171.4,398.2,316.2,593.0,372.1,191.2,212.5,9.1,1.4,2520.5,91.8,733.1,1472.5,223.0,Nagaland,26.82407,93.79413,1879.7,37.46,314.25,41.61,0.579,Mountain Soil,0,0.612,1.862,Forest,0
Arunachal Pradesh,1997.0,26.2,68.5,158.5,94.7,212.6,548.0,395.2,237.0,403.5,58.5,45.9,26.3,2274.9,94.6,465.8,1583.7,130.7,Sikkim,27.43938,88.04043,3608.7,24.37,91.44,77.89,0.508,Silty,3,0.757,0.351,Forest,0
Arunachal Pradesh,1998.0,26.7,78.8,193.6,125.0,275.0,839.8,823.8,807.0,236.8,187.2,20.5,2.5,3616.7,105.6,593.6,2707.4,210.2,Tripura,23.3582,91.33329,630.4,15.81,285.73,55.92,0.442,Alluvial,1,0.841,0.642,Agriculture,1
Arunachal Pradesh,1999.0,7.9,6.1,40.4,159.6,343.2,450.0,376.9,438.1,254.0,207.9,28.3,4.3,2316.6,14.0,543.2,1519.0,240.4,Arunachal Pradesh,27.21237,92.74219,4102.4,4.75,83.64,42.33,0.457,Mountain Soil,0,0.877,1.592,Grassland,0
Arunachal Pradesh,2000.0,54.1,47.1,139.9,293.8,267.2,459.8,395.4,387.4,407.4,81.3,53.9,9.6,2596.8,101.2,700.8,1650.0,144.8,Assam,27.16184,93.55107,664.3,20.64,56.78,66.92,0.643,Clay,0,4.215,0.496,Forest,0
Arunachal Pradesh,2001.0,53.1,66.6,134.9,229.9,195.6,277.2,302.6,279.9,288.1,173.8,19.3,14.9,2036.0,119.7,560.5,1147.8,208.0,Manipur,24.84014,93.57048,1567.2,9.02,354.43,63.92,0.614,Mountain Soil,1,1.498,1.115,Forest,0
Arunachal Pradesh,2002.0,74.2,37.2,126.3,248.2,197.1,396.8,604.0,290.7,257.9,94.0,45.0,17.9,2389.2,111.4,571.6,1549.4,156.9,Meghalaya,25.72962,91.04935,582.4,10.55,225.53,47.23,0.449,Alluvial,0,0.886,0.355,Forest,1
Arunachal Pradesh,2003.0,22.9,83.2,109.6,182.0,173.5,424.3,645.3,327.2,259.9,182.6,25.0,16.2,2451.8,106.1,465.2,1656.6,223.9,Mizoram,22.04201,91.89113,508.3,11.02,306.42,40.09,0.737,Silty,0,1.027,0.993,Built-up,1
Arunachal Pradesh,2004.0,38.0,39.1,175.5,210.2,298.7,402.9,654.3,243.0,278.5,184.8,5.6,15.2,2545.7,77.1,684.3,1578.7,205.6,Nagaland,26.70038,94.6934,2075.9,23.78,41.17,77.33,0.468,Clay,1,0.606,1.435,Agriculture,1
Arunachal Pradesh,2005.0,48.4,167.6,229.5,195.3,179.8,269.3,430.8,400.0,243.6,139.3,28.6,3.3,2335.5,216.0,604.6,1343.7,171.2,Sikkim,26.90358,87.93943,3338.9,12.15,354.64,60.87,0.246,Silty,2,0.543,1.036,Forest,0
Arunachal Pradesh,2006.0,6.0,103.7,63.3,202.7,321.7,520.4,382.2,227.6,263.2,77.2,69.7,21.7,2259.6,109.7,587.7,1393.5,168.7,Tripura,23.65632,89.82443,655.0,16.21,113.18,50.61,0.329,Sandy Loam,1,2.194,0.651,Forest,1
Arunachal Pradesh,2007.0,13.4,97.4,48.1,292.4,250.4,530.2,761.0,364.6,529.3,102.6,24.3,6.9,3020.7,110.8,590.9,2185.1,133.9,Arunachal Pradesh,27.76657,93.27348,2944.2,19.8,62.03,71.52,0.819,Clay,1,1.11,2.0,Agriculture,0
Arunachal Pradesh,2008.0,76.7,39.7,122.6,192.4,185.0,423.6,456.1,439.3,189.7,115.1,1.7,2.6,2244.4,116.4,499.9,1508.7,119.4,Assam,26.68741,91.70564,269.7,12.53,128.47,23.8,0.722,Silty,0,2.389,3.468,Agriculture,0
Arunachal Pradesh,2009.0,18.0,92.8,72.1,132.7,189.9,259.1,329.9,370.3,152.5,82.9,33.9,15.9,1749.9,110.8,394.7,1111.8,132.7,Manipur,23.87544,94.04687,1906.8,8.1,149.42,58.11,0.435,Alluvial,0,0.6,0.52,Agriculture,0
Arunachal Pradesh,2010.0,0.6,13.2,237.8,466.9,312.7,509.9,378.0,321.5,444.2,97.7,58.9,14.2,2855.7,13.9,1017.5,1653.6,170.9,Meghalaya,24.63593,89.88292,1053.1,15.6,113.93,64.33,0.124,Clay,3,1.079,0.919,Grassland,1
Arunachal Pradesh,2011.0,40.0,51.3,174.5,240.8,219.6,288.4,531.4,277.6,286.7,51.9,16.2,15.2,2193.7,91.4,634.9,1384.2,83.3,Mizoram,24.25021,91.69324,1432.4,15.61,170.54,38.82,0.805,Alluvial,0,0.728,0.597,Agriculture,1
Arunachal Pradesh,2012.0,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2,3440.3,93.6,724.9,2325.6,296.3,Nagaland,26.9175,95.03692,1313.0,21.55,141.33,72.85,0.854,Mountain Soil,0,0.538,0.415,Agriculture,0
